Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
11000.0,2017,Nissan,Sentra,33723.21639344262, Սեդան, Վարիատոր, Ձախ, Բենզին, Կապույտ,Մաքսազերծված է
7650.0,2016,Chrysler,200,34204.62344983089, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
15000.0,2018,Dodge,Durango,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
16750.0,2019,Lincoln,Continental,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
13500.0,2019,Kia,Optima,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
20100.0,2021,Toyota,Camry,16736.334685598376, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
4550.0,2019,Ford,Fusion,20400.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կարմիր,Մաքսազերծված չէ
3000.0,2017,Ford,Fusion,23690.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
2500.0,2016,Ford,Fusion,24150.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
3700.0,2018,Ford,Escape,22356.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
3800.0,2018,Ford,Escape,16541.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
4100.0,2019,Ford,Escape,19850.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
3200.0,2017,Ford,Escape,24715.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
4800.0,2020,Ford,Escape,20452.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
3300.0,2017,Ford,Escape,23590.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
11800.0,2019,Honda,CR-V,22630.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
16000.0,2021,Honda,CR-V,10400.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
14000.0,2020,Honda,CR-V,11300.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
8000.0,2017,Honda,CR-V,23950.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
13500.0,2020,Honda,Pilot,13200.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
7000.0,2016,Honda,Pilot,24600.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
12000.0,2019,Honda,Pilot,21360.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
7100.0,2016,Honda,Pilot,24710.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
4100.0,2017,Acura,ILX,25000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
12300.0,2016,Toyota,Tundra,23547.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
13700.0,2017,Toyota,Tundra,19347.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
3800.0,2016,Toyota,Corolla,22739.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
17500.0,2021,Toyota,Tundra,16374.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
